date,section_name,headline,abstract,lead_paragraph,keywords,word_count
2021-07-01,Opinion,"From Google, on Its Advertising Tech Business",“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,To the Editor:,"['Online Advertising', 'Advertising and Marketing']",276
2021-07-01,Sports,The N.B.A. Champion May Be the Last Team Standing,"Injuries to stars have dominated and reshaped the playoffs, raising questions about the legacy of the team that wins it all.","The Milwaukee Bucks were in the midst of a comeback on Tuesday against the Atlanta Hawks, who were without their best player, Trae Young. With the Bucks up by two games to one in the best-of-seven Eastern Conference finals series, a win would have put the franchise on the brink of making its first N.B.A. finals since 1974.","['Sports Injuries', 'Basketball', 'Playoff Games', 'NBA Championship']",1508
2021-07-01,U.S.,"A poll reveals another U.S. vaccine divide, this one by household.",Workers were more likely to get a shot when their employers encouraged them and provided paid time off.,"A new poll has found that Americans are sharply divided by household over vaccination status, with 77 percent of vaccinated adults saying everyone in their household is vaccinated and a similar share (75 percent) of unvaccinated adults saying no one they live with is vaccinated.","['Vaccination and Immunization', 'Paid Time Off', 'Polls and Public Opinion']",420
2021-07-01,Technology,Judge Blocks Florida Law Regulating Social Media Companies,"It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.",A judge on Wednesday blocked a Florida law that would be the first in the nation to prohibit social media companies from barring political candidates.,"['Social Media', 'Censorship', 'Computers and the Internet', 'Decisions and Verdicts', 'Law and Legislation']",262
2021-07-01,U.S.,James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,"Two former students of Mr. Franco’s acting school had accused him of subjecting them to sexually exploitative auditions and film shoots. In the proposed settlement, he did not admit wrongdoing.","The actor James Franco has agreed to pay more than $2.2 million to settle a pair of lawsuits, including one from two former students of his acting school who said he had subjected them to sexually exploitative auditions and film shoots.","['Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Women and Girls', 'Sex Crimes', 'Frauds and Swindling', 'Actors and Actresses']",680
2021-07-01,Crosswords & Games,Curling Locales,Joe Deeney makes a deal out of things.,"THURSDAY PUZZLE — Without giving away spoilers, there is a technical issue that may be preventing some solvers who are playing in the iOS and Android apps from seeing the puzzle correctly. ",['Crossword Puzzles'],1499
2021-07-01,Sports,"Greg Noll, Surfing Superstar Who Tackled the Big Waves, Dies at 84","Known as ‘Da Bull,’ he caught waves in Hawaii, California, Australia and Mexico. One expert said he “could be the Babe Ruth of surfing.”","Greg Noll, a fearless surfer and a superstar in his sport who in the 1960s tackled stunningly big waves in Hawaii, died on Monday in Crescent City, Calif., about 20 miles south of Oregon. He was 84.","['Deaths (Obituaries)', 'Surfing']",1098
2021-07-01,World,Pictures From a Revolution: China’s Communists Mark a Centennial,The improbable rise of a superpower that was born in the rubble of dynasty and fears it may yet meet the same fate.,"In the summer of 1921, there was nothing inevitable about the Communist Party of China, even its survival. Especially its survival.","['Politics and Government', 'Hong Kong Protests (2019)']",1256
2021-07-01,Corrections,"Corrections: July 1, 2021","Corrections that appeared in print on Thursday, July 1, 2021.","An article on Wednesday about the decision by Representative James Clyburn of South Carolina to endorse Shontel Brown for Congress misstated which House Democratic leaders had agreed to vacate their posts after this Congress. Although Speaker Nancy Pelosi initially considered a deal with limits on all three of the top Democratic leaders, the deal ultimately applied only to her, not all three.",[],268
2021-07-01,Briefing,Your Thursday Briefing,A global virus surge.,"A year and a half since it began, the pandemic is on the rise again in much of the world, driven largely by the highly contagious Delta variant and other new types. Scientists believe that variant, first identified in India, may be twice as transmissible as the original coronavirus.",[],1311
2021-07-01,Sports,Phoenix Suns Headed to First N.B.A. Finals in Almost 30 Years,"This will be the first trip to the finals for the Suns’ veteran leader, Chris Paul, who scored 41 points in the series-clinching Game 6 victory over the Los Angeles Clippers.","The Phoenix Suns, after missing the playoffs for 10 consecutive seasons, are headed to the N.B.A. finals for the first time since 1993.","['Sports Injuries', 'Playoff Games', 'NBA Championship']",860
2021-07-01,Sports,"Every Shot, and Second, Counts for Tampa Bay",The Lightning’s Blake Coleman dived to tip in the winning goal in the final moments of the second period to help Tampa Bay triumph despite being heavily outshot. His move looked awfully familiar.,"TAMPA, Fla. — It was a cute idea, really it was. This notion that as the final seconds ticked off and play lingered in the neutral zone, the middle period of Game 2 of the Stanley Cup finals would end, just end, with the score still tied but the Montreal Canadiens in control. A puck, though — it can do some wondrous things when manipulated by marvels, and Lightning winger Barclay Goodrow poked it beyond one Montreal defenseman, then maneuvered it past another to whip a backhand pass across the slot, and then there was no time left until there was just enough. ","['Stanley Cup', 'Hockey, Ice']",947
2021-07-01,Sports,College Athletes Cash In as Generations of Rules Fade Under Pressure,Thursday brings a seismic shift for college sports: eased N.C.A.A. policies and new laws to let players make money off their fame.,"MIAMI — D’Eriq King, the University of Miami’s star quarterback, has spent the off-season anticipating the Hurricanes’ September opener against Alabama. First, though, he is opening for business on Thursday, when college athletes can start to make money off their fame.","['Student Athlete Compensation', 'College Athletics', 'Colleges and Universities']",1895
2021-07-01,U.S.,Infighting and Poor Planning Leave Condo Sites in Disrepair,"Under pressure to keep costs down, many condo boards around the country have little money set aside for big repairs like the ones needed in Surfside, Fla. Some are looking to force a change.","For years before the partial collapse of the Champlain Towers South complex near Miami, the condo board wrestled with how to come up with the $15 million needed to fix the building’s dilapidated roof, a poorly designed pool deck and crumbling support columns.","['Surfside, Fla, Building Collapse (2021)', 'Condominiums', 'Home Repairs and Improvements']",1745
2021-07-01,Fashion & Style,The Imperial Editor Goes the Way of the Dodo,Business and culture have conspired to kill off a passé persona.,"On Monday, when the fashion world will gather in Paris for the first live couture shows since the pandemic began and assorted editors will take their socially distanced seats en masse, the front row — that power chain of often instantly recognizable individuals who set the tone for trends and style setters for the world — will look very different.","['Fashion and Apparel', 'Magazines', 'Appointments and Executive Changes', 'your-feed-fashion']",2736
